date,pe_ratio
1889-03-01,19.22222222
1889-04-01,18.95353092
1889-05-01,19.2265992
1889-06-01,19.32142857
1889-07-01,18.7080833
1889-08-01,18.73038019
1889-09-01,18.96551724
1889-10-01,18.41118309
1889-11-01,18.03168183
1889-12-01,17.73333333
1890-01-01,17.98128342
1890-02-01,17.8343949
1890-03-01,17.74789916
1890-04-01,18.16649815
1890-05-01,18.99932387
1890-06-01,18.91525424
1890-07-01,18.8307274
1890-08-01,18.44527787
1890-09-01,18.18803419
1890-10-01,17.41515255
1890-11-01,16.19669876
1890-12-01,15.86206897
1891-01-01,16.45139361
1891-02-01,16.42641636
1891-03-01,15.90082645
1891-04-01,16.20476035
1891-05-01,15.92664093
1891-06-01,15.3968254
1891-07-01,14.94360902
1891-08-01,15.24899474
1891-09-01,16.27480916
1891-10-01,16.06873681
1891-11-01,15.63430613
1891-12-01,15.91176471
1892-01-01,16.08759124
1892-02-01,16
1892-03-01,16.05755396
1892-04-01,15.91428571
1892-05-01,15.80141844
1892-06-01,15.6056338
1892-07-01,15.4965035
1892-08-01,15.61111111
1892-09-01,15.11724138
1892-10-01,15.31506849
1892-11-01,15.15646259
1892-12-01,14.89189189
1893-01-01,15.54878049
1893-02-01,15.66676144
1893-03-01,15.50364964
1893-04-01,15.93159316
1893-05-01,14.92905614
1893-06-01,14.63492063
1893-07-01,13.66906475
1893-08-01,13.7512639
1893-09-01,15.2
1893-10-01,16.16960115
1893-11-01,16.97622585
1893-12-01,16.96153846
1894-01-01,17.16328963
1894-02-01,18.00246609
1894-03-01,19.19148936
1894-04-01,20.15880018
1894-05-01,20.15574897
1894-06-01,20.66666667
1894-07-01,21.07089737
1894-08-01,22.81427832
1894-09-01,24.21621622
1894-10-01,24.56140351
1894-11-01,25.78728461
1894-12-01,26.875
1895-01-01,25.37313433
1895-02-01,23.94285714
1895-03-01,22.95890411
1895-04-01,23
1895-05-01,23.34177215
1895-06-01,22.92682927
1895-07-01,22.21176471
1895-08-01,21.77272727
1895-09-01,21.18681319
1895-10-01,20.21276596
1895-11-01,18.92783505
1895-12-01,17.28
1896-01-01,17.30847183
1896-02-01,18.29017674
1896-03-01,18.25
1896-04-01,18.67342628
1896-05-01,18.85983712
1896-06-01,18.7826087
1896-07-01,17.82090869
1896-08-01,17.0622481
1896-09-01,18.22727273
1896-10-01,18.92016613
1896-11-01,20.53445851
1896-12-01,20.0952381
1897-01-01,19.3311956
1897-02-01,18.43846493
1897-03-01,17.82978723
1897-04-01,16.68721743
1897-05-01,16.20977354
1897-06-01,16.42307692
1897-07-01,16.623183
1897-08-01,17.16660643
1897-09-01,17.47368421
1897-10-01,16.43368565
1897-11-01,15.41266158
1897-12-01,15.32258065
1898-01-01,15.57612512
1898-02-01,15.3773287
1898-03-01,14.53125
1898-04-01,14.13547788
1898-05-01,14.90664218
1898-06-01,15.33333333
1898-07-01,15.24152415
1898-08-01,15.65191565
1898-09-01,15.47058824
1898-10-01,15.00145645
1898-11-01,15.3446784
1898-12-01,16.14285714
1899-01-01,16.85144124
1899-02-01,16.97605596
1899-03-01,16.73202614
1899-04-01,16.47597254
1899-05-01,15.36368135
1899-06-01,14.62650602
1899-07-01,14.74870831
1899-08-01,14.74696588
1899-09-01,14.23463687
1899-10-01,13.83373336
1899-11-01,13.76811594
1899-12-01,12.54166667
01/01/1900,12.70833333
